AnimalID,BirthDate,BirthFarm,DeathDate,DeathFarm,Species
A000000046,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000047,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000048,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000049,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000050,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000051,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000052,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000053,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000054,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000055,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000056,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000057,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000058,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000059,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000060,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000061,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000062,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000063,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000064,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000065,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000066,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000067,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000068,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000069,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000070,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000071,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000072,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000073,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000074,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000075,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000076,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000077,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000078,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000079,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000080,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000081,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000082,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000083,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000084,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000085,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000086,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000087,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000088,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000089,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000090,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000091,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000092,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000093,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000094,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000095,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000096,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000097,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000098,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000099,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000100,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000001801,01/01/1995,F000000019,01/01/2005,F000000001,CATTLE
A000001802,01/01/1995,F000000019,01/01/2005,F000000001,CATTLE
A000001803,01/01/1995,F000000019,01/01/2005,F000000001,CATTLE
A000001804,01/01/1995,F000000019,01/01/2005,F000000001,CATTLE
A000001805,01/01/1995,F000000019,01/01/2005,F000000001,CATTLE
A000001806,01/01/1995,F000000019,01/01/2005,F000000001,CATTLE
A000001807,01/01/1995,F000000019,01/01/2005,F000000001,CATTLE
A000001808,01/01/1995,F000000019,01/01/2005,F000000001,CATTLE
A000001809,01/01/1995,F000000019,01/01/2005,F000000001,CATTLE
A000001810,01/01/1995,F000000019,01/01/2005,F000000001,CATTLE
A000001811,01/01/1995,F000000019,01/01/2005,F000000001,CATTLE
A000001812,01/01/1995,F000000019,01/01/2005,F000000001,CATTLE
A000001813,01/01/1995,F000000019,01/01/2005,F000000001,CATTLE
A000001814,01/01/1995,F000000019,01/01/2005,F000000001,CATTLE
A000001815,01/01/1995,F000000019,01/01/2005,F000000001,CATTLE
A000001401,01/01/1995,F000000015,01/01/2005,F000000001,CATTLE
A000001402,01/01/1995,F000000015,01/01/2005,F000000001,CATTLE
A000001403,01/01/1995,F000000015,01/01/2005,F000000001,CATTLE
A000001404,01/01/1995,F000000015,01/01/2005,F000000001,CATTLE
A000001405,01/01/1995,F000000015,01/01/2005,F000000001,CATTLE
A000001406,01/01/1995,F000000015,01/01/2005,F000000001,CATTLE
A000001407,01/01/1995,F000000015,01/01/2005,F000000001,CATTLE
A000001408,01/01/1995,F000000015,01/01/2005,F000000001,CATTLE
A000000906,01/01/1995,F000000010,01/01/2005,F000000001,CATTLE
A000000907,01/01/1995,F000000010,01/01/2005,F000000001,CATTLE
A000000908,01/01/1995,F000000010,01/01/2005,F000000001,CATTLE
A000000909,01/01/1995,F000000010,01/01/2005,F000000001,CATTLE
A000000910,01/01/1995,F000000010,01/01/2005,F000000001,CATTLE
A000000911,01/01/1995,F000000010,01/01/2005,F000000001,CATTLE
A000000912,01/01/1995,F000000010,01/01/2005,F000000001,CATTLE
A000000913,01/01/1995,F000000010,01/01/2005,F000000001,CATTLE
A000000914,01/01/1995,F000000010,01/01/2005,F000000001,CATTLE
A000000915,01/01/1995,F000000010,01/01/2005,F000000001,CATTLE
A000000916,01/01/1995,F000000010,01/01/2005,F000000001,CATTLE
A000000917,01/01/1995,F000000010,01/01/2005,F000000001,CATTLE
A000000918,01/01/1995,F000000010,01/01/2005,F000000001,CATTLE
A000000919,01/01/1995,F000000010,01/01/2005,F000000001,CATTLE
A000000920,01/01/1995,F000000010,01/01/2005,F000000001,CATTLE
A000000921,01/01/1995,F000000010,01/01/2005,F000000001,CATTLE
A000000922,01/01/1995,F000000010,01/01/2005,F000000001,CATTLE
A000000101,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000102,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000103,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000104,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000105,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000106,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000107,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000108,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000109,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000110,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000111,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000112,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000113,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000114,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000115,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000116,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000117,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000118,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000119,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000120,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000121,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000122,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000123,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000124,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000125,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000126,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000127,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000128,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000129,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000130,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000131,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000132,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000133,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000134,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000135,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000136,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000137,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000138,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000139,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000140,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000141,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000142,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000143,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000144,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000145,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000146,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000147,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000148,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000149,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000150,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000151,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000152,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000153,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000154,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000155,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000156,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000157,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000158,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000159,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000160,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000161,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000162,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000163,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000164,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000165,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000166,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000167,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000168,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000169,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000170,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000171,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000172,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000173,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000174,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000175,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000176,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000177,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000178,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000179,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000180,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000181,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000182,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000183,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000184,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000185,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000186,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000187,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000188,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000189,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000190,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000191,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000192,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000193,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000194,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000195,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000196,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000197,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000198,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000199,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000200,01/01/1995,F000000002,01/01/2005,F000000002,CATTLE
A000000001,01/01/1995,F000000001,01/01/2005,F000000002,CATTLE
A000000002,01/01/1995,F000000001,01/01/2005,F000000002,CATTLE
A000000003,01/01/1995,F000000001,01/01/2005,F000000002,CATTLE
A000000004,01/01/1995,F000000001,01/01/2005,F000000002,CATTLE
A000000005,01/01/1995,F000000001,01/01/2005,F000000002,CATTLE
A000000006,01/01/1995,F000000001,01/01/2005,F000000002,CATTLE
A000000007,01/01/1995,F000000001,01/01/2005,F000000002,CATTLE
A000000008,01/01/1995,F000000001,01/01/2005,F000000002,CATTLE
A000000009,01/01/1995,F000000001,01/01/2005,F000000002,CATTLE
A000000010,01/01/1995,F000000001,01/01/2005,F000000002,CATTLE
A000000011,01/01/1995,F000000001,01/01/2005,F000000002,CATTLE
A000000215,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000216,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000217,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000218,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000219,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000220,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000221,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000222,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000223,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000224,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000225,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000226,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000227,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000228,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000229,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000230,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000231,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000232,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000233,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000234,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000235,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000236,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000237,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000238,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000239,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000240,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000241,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000242,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000243,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000244,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000245,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000246,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000247,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000248,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000249,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000250,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000251,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000252,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000253,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000254,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000255,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000256,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000257,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000258,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000259,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000260,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000261,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000262,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000263,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000264,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000265,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000266,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000267,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000268,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000269,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000270,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000271,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000272,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000273,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000274,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000275,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000276,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000277,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000278,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000279,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000280,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000281,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000282,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000283,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000284,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000285,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000286,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000287,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000288,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000289,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000290,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000291,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000292,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000293,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000294,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000295,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000296,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000297,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000298,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000299,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000300,01/01/1995,F000000003,01/01/2005,F000000003,CATTLE
A000000312,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000313,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000314,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000315,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000316,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000317,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000318,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000319,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000320,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000321,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000322,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000323,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000324,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000325,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000326,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000327,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000328,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000329,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000330,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000331,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000332,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000333,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000334,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000335,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000336,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000337,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000338,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000339,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000340,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000341,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000342,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000343,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000344,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000345,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000346,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000347,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000348,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000349,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000350,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000351,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000352,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000353,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000354,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000355,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000356,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000357,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000358,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000359,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000360,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000361,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000362,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000363,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000364,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000365,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000366,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000367,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000368,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000369,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000370,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000371,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000372,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000373,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000374,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000375,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000376,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000377,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000378,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000379,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000380,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000381,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000382,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
A000000383,01/01/1995,F000000004,01/01/2005,F000000004,CATTLE
