AnimalID,Species,FarmID,Date,Type
A000000137,CATTLE,F000000002,01/01/1995,BIRTH
A000000138,CATTLE,F000000002,01/01/1995,BIRTH
A000000139,CATTLE,F000000002,01/01/1995,BIRTH
A000000140,CATTLE,F000000002,01/01/1995,BIRTH
A000000141,CATTLE,F000000002,01/01/1995,BIRTH
A000000142,CATTLE,F000000002,01/01/1995,BIRTH
A000000143,CATTLE,F000000002,01/01/1995,BIRTH
A000000144,CATTLE,F000000002,01/01/1995,BIRTH
A000000145,CATTLE,F000000002,01/01/1995,BIRTH
A000000146,CATTLE,F000000002,01/01/1995,BIRTH
A000000147,CATTLE,F000000002,01/01/1995,BIRTH
A000000148,CATTLE,F000000002,01/01/1995,BIRTH
A000000149,CATTLE,F000000002,01/01/1995,BIRTH
A000000150,CATTLE,F000000002,01/01/1995,BIRTH
A000000151,CATTLE,F000000002,01/01/1995,BIRTH
A000000152,CATTLE,F000000002,01/01/1995,BIRTH
A000000153,CATTLE,F000000002,01/01/1995,BIRTH
A000000154,CATTLE,F000000002,01/01/1995,BIRTH
A000000155,CATTLE,F000000002,01/01/1995,BIRTH
A000000156,CATTLE,F000000002,01/01/1995,BIRTH
A000000157,CATTLE,F000000002,01/01/1995,BIRTH
A000000158,CATTLE,F000000002,01/01/1995,BIRTH
A000000159,CATTLE,F000000002,01/01/1995,BIRTH
A000000160,CATTLE,F000000002,01/01/1995,BIRTH
A000000161,CATTLE,F000000002,01/01/1995,BIRTH
A000000162,CATTLE,F000000002,01/01/1995,BIRTH
A000000163,CATTLE,F000000002,01/01/1995,BIRTH
A000000164,CATTLE,F000000002,01/01/1995,BIRTH
A000000165,CATTLE,F000000002,01/01/1995,BIRTH
A000000166,CATTLE,F000000002,01/01/1995,BIRTH
A000000167,CATTLE,F000000002,01/01/1995,BIRTH
A000000168,CATTLE,F000000002,01/01/1995,BIRTH
A000000169,CATTLE,F000000002,01/01/1995,BIRTH
A000000170,CATTLE,F000000002,01/01/1995,BIRTH
A000000171,CATTLE,F000000002,01/01/1995,BIRTH
A000000172,CATTLE,F000000002,01/01/1995,BIRTH
A000000173,CATTLE,F000000002,01/01/1995,BIRTH
A000000174,CATTLE,F000000002,01/01/1995,BIRTH
A000000175,CATTLE,F000000002,01/01/1995,BIRTH
A000000176,CATTLE,F000000002,01/01/1995,BIRTH
A000000177,CATTLE,F000000002,01/01/1995,BIRTH
A000000178,CATTLE,F000000002,01/01/1995,BIRTH
A000000179,CATTLE,F000000002,01/01/1995,BIRTH
A000000180,CATTLE,F000000002,01/01/1995,BIRTH
A000000181,CATTLE,F000000002,01/01/1995,BIRTH
A000000182,CATTLE,F000000002,01/01/1995,BIRTH
A000000183,CATTLE,F000000002,01/01/1995,BIRTH
A000000184,CATTLE,F000000002,01/01/1995,BIRTH
A000000185,CATTLE,F000000002,01/01/1995,BIRTH
A000000186,CATTLE,F000000002,01/01/1995,BIRTH
A000000187,CATTLE,F000000002,01/01/1995,BIRTH
A000000188,CATTLE,F000000002,01/01/1995,BIRTH
A000000189,CATTLE,F000000002,01/01/1995,BIRTH
A000000190,CATTLE,F000000002,01/01/1995,BIRTH
A000000191,CATTLE,F000000002,01/01/1995,BIRTH
A000000192,CATTLE,F000000002,01/01/1995,BIRTH
A000000193,CATTLE,F000000002,01/01/1995,BIRTH
A000000194,CATTLE,F000000002,01/01/1995,BIRTH
A000000195,CATTLE,F000000002,01/01/1995,BIRTH
A000000196,CATTLE,F000000002,01/01/1995,BIRTH
A000000197,CATTLE,F000000002,01/01/1995,BIRTH
A000000198,CATTLE,F000000002,01/01/1995,BIRTH
A000000199,CATTLE,F000000002,01/01/1995,BIRTH
A000000200,CATTLE,F000000002,01/01/1995,BIRTH
A000000201,CATTLE,F000000003,01/01/1995,BIRTH
A000000202,CATTLE,F000000003,01/01/1995,BIRTH
A000000203,CATTLE,F000000003,01/01/1995,BIRTH
A000000204,CATTLE,F000000003,01/01/1995,BIRTH
A000000205,CATTLE,F000000003,01/01/1995,BIRTH
A000000206,CATTLE,F000000003,01/01/1995,BIRTH
A000000207,CATTLE,F000000003,01/01/1995,BIRTH
A000000208,CATTLE,F000000003,01/01/1995,BIRTH
A000000209,CATTLE,F000000003,01/01/1995,BIRTH
A000000210,CATTLE,F000000003,01/01/1995,BIRTH
A000000211,CATTLE,F000000003,01/01/1995,BIRTH
A000000212,CATTLE,F000000003,01/01/1995,BIRTH
A000000213,CATTLE,F000000003,01/01/1995,BIRTH
A000000214,CATTLE,F000000003,01/01/1995,BIRTH
A000000215,CATTLE,F000000003,01/01/1995,BIRTH
A000000216,CATTLE,F000000003,01/01/1995,BIRTH
A000000217,CATTLE,F000000003,01/01/1995,BIRTH
A000000218,CATTLE,F000000003,01/01/1995,BIRTH
A000000219,CATTLE,F000000003,01/01/1995,BIRTH
A000000220,CATTLE,F000000003,01/01/1995,BIRTH
A000000221,CATTLE,F000000003,01/01/1995,BIRTH
A000000222,CATTLE,F000000003,01/01/1995,BIRTH
A000000223,CATTLE,F000000003,01/01/1995,BIRTH
A000000224,CATTLE,F000000003,01/01/1995,BIRTH
A000000225,CATTLE,F000000003,01/01/1995,BIRTH
A000000226,CATTLE,F000000003,01/01/1995,BIRTH
A000000227,CATTLE,F000000003,01/01/1995,BIRTH
A000000228,CATTLE,F000000003,01/01/1995,BIRTH
A000000229,CATTLE,F000000003,01/01/1995,BIRTH
A000000230,CATTLE,F000000003,01/01/1995,BIRTH
A000000231,CATTLE,F000000003,01/01/1995,BIRTH
A000000232,CATTLE,F000000003,01/01/1995,BIRTH
A000000233,CATTLE,F000000003,01/01/1995,BIRTH
A000000234,CATTLE,F000000003,01/01/1995,BIRTH
A000000235,CATTLE,F000000003,01/01/1995,BIRTH
A000000236,CATTLE,F000000003,01/01/1995,BIRTH
A000000237,CATTLE,F000000003,01/01/1995,BIRTH
A000000238,CATTLE,F000000003,01/01/1995,BIRTH
A000000239,CATTLE,F000000003,01/01/1995,BIRTH
A000000240,CATTLE,F000000003,01/01/1995,BIRTH
A000000241,CATTLE,F000000003,01/01/1995,BIRTH
A000000242,CATTLE,F000000003,01/01/1995,BIRTH
A000000243,CATTLE,F000000003,01/01/1995,BIRTH
A000000244,CATTLE,F000000003,01/01/1995,BIRTH
A000000245,CATTLE,F000000003,01/01/1995,BIRTH
A000000246,CATTLE,F000000003,01/01/1995,BIRTH
A000000247,CATTLE,F000000003,01/01/1995,BIRTH
A000000248,CATTLE,F000000003,01/01/1995,BIRTH
A000000249,CATTLE,F000000003,01/01/1995,BIRTH
A000000250,CATTLE,F000000003,01/01/1995,BIRTH
A000000251,CATTLE,F000000003,01/01/1995,BIRTH
A000000252,CATTLE,F000000003,01/01/1995,BIRTH
A000000253,CATTLE,F000000003,01/01/1995,BIRTH
A000000254,CATTLE,F000000003,01/01/1995,BIRTH
A000000255,CATTLE,F000000003,01/01/1995,BIRTH
A000000256,CATTLE,F000000003,01/01/1995,BIRTH
A000000257,CATTLE,F000000003,01/01/1995,BIRTH
A000000258,CATTLE,F000000003,01/01/1995,BIRTH
A000000259,CATTLE,F000000003,01/01/1995,BIRTH
A000000260,CATTLE,F000000003,01/01/1995,BIRTH
A000000261,CATTLE,F000000003,01/01/1995,BIRTH
A000000262,CATTLE,F000000003,01/01/1995,BIRTH
A000000263,CATTLE,F000000003,01/01/1995,BIRTH
A000000264,CATTLE,F000000003,01/01/1995,BIRTH
A000000265,CATTLE,F000000003,01/01/1995,BIRTH
A000000266,CATTLE,F000000003,01/01/1995,BIRTH
A000000267,CATTLE,F000000003,01/01/1995,BIRTH
A000000268,CATTLE,F000000003,01/01/1995,BIRTH
A000000269,CATTLE,F000000003,01/01/1995,BIRTH
A000000270,CATTLE,F000000003,01/01/1995,BIRTH
A000000271,CATTLE,F000000003,01/01/1995,BIRTH
A000000272,CATTLE,F000000003,01/01/1995,BIRTH
A000000273,CATTLE,F000000003,01/01/1995,BIRTH
A000000274,CATTLE,F000000003,01/01/1995,BIRTH
A000000275,CATTLE,F000000003,01/01/1995,BIRTH
A000000276,CATTLE,F000000003,01/01/1995,BIRTH
A000000277,CATTLE,F000000003,01/01/1995,BIRTH
A000000278,CATTLE,F000000003,01/01/1995,BIRTH
A000000279,CATTLE,F000000003,01/01/1995,BIRTH
A000000280,CATTLE,F000000003,01/01/1995,BIRTH
A000000281,CATTLE,F000000003,01/01/1995,BIRTH
A000000282,CATTLE,F000000003,01/01/1995,BIRTH
A000000283,CATTLE,F000000003,01/01/1995,BIRTH
A000000284,CATTLE,F000000003,01/01/1995,BIRTH
A000000285,CATTLE,F000000003,01/01/1995,BIRTH
A000000286,CATTLE,F000000003,01/01/1995,BIRTH
A000000287,CATTLE,F000000003,01/01/1995,BIRTH
A000000288,CATTLE,F000000003,01/01/1995,BIRTH
A000000289,CATTLE,F000000003,01/01/1995,BIRTH
A000000290,CATTLE,F000000003,01/01/1995,BIRTH
A000000291,CATTLE,F000000003,01/01/1995,BIRTH
A000000292,CATTLE,F000000003,01/01/1995,BIRTH
A000000293,CATTLE,F000000003,01/01/1995,BIRTH
A000000294,CATTLE,F000000003,01/01/1995,BIRTH
A000000295,CATTLE,F000000003,01/01/1995,BIRTH
A000000296,CATTLE,F000000003,01/01/1995,BIRTH
A000000297,CATTLE,F000000003,01/01/1995,BIRTH
A000000298,CATTLE,F000000003,01/01/1995,BIRTH
A000000299,CATTLE,F000000003,01/01/1995,BIRTH
A000000300,CATTLE,F000000003,01/01/1995,BIRTH
A000000301,CATTLE,F000000004,01/01/1995,BIRTH
A000000302,CATTLE,F000000004,01/01/1995,BIRTH
A000000303,CATTLE,F000000004,01/01/1995,BIRTH
A000000304,CATTLE,F000000004,01/01/1995,BIRTH
A000000305,CATTLE,F000000004,01/01/1995,BIRTH
A000000306,CATTLE,F000000004,01/01/1995,BIRTH
A000000307,CATTLE,F000000004,01/01/1995,BIRTH
A000000308,CATTLE,F000000004,01/01/1995,BIRTH
A000000309,CATTLE,F000000004,01/01/1995,BIRTH
A000000310,CATTLE,F000000004,01/01/1995,BIRTH
A000000311,CATTLE,F000000004,01/01/1995,BIRTH
A000000312,CATTLE,F000000004,01/01/1995,BIRTH
A000000313,CATTLE,F000000004,01/01/1995,BIRTH
A000000314,CATTLE,F000000004,01/01/1995,BIRTH
A000000315,CATTLE,F000000004,01/01/1995,BIRTH
A000000316,CATTLE,F000000004,01/01/1995,BIRTH
A000000317,CATTLE,F000000004,01/01/1995,BIRTH
A000000318,CATTLE,F000000004,01/01/1995,BIRTH
A000000319,CATTLE,F000000004,01/01/1995,BIRTH
A000000320,CATTLE,F000000004,01/01/1995,BIRTH
A000000321,CATTLE,F000000004,01/01/1995,BIRTH
A000000322,CATTLE,F000000004,01/01/1995,BIRTH
A000000323,CATTLE,F000000004,01/01/1995,BIRTH
A000000324,CATTLE,F000000004,01/01/1995,BIRTH
A000000325,CATTLE,F000000004,01/01/1995,BIRTH
A000000326,CATTLE,F000000004,01/01/1995,BIRTH
A000000327,CATTLE,F000000004,01/01/1995,BIRTH
A000000328,CATTLE,F000000004,01/01/1995,BIRTH
A000000329,CATTLE,F000000004,01/01/1995,BIRTH
A000000330,CATTLE,F000000004,01/01/1995,BIRTH
A000000331,CATTLE,F000000004,01/01/1995,BIRTH
A000000332,CATTLE,F000000004,01/01/1995,BIRTH
A000000333,CATTLE,F000000004,01/01/1995,BIRTH
A000000334,CATTLE,F000000004,01/01/1995,BIRTH
A000000335,CATTLE,F000000004,01/01/1995,BIRTH
A000000336,CATTLE,F000000004,01/01/1995,BIRTH
A000000337,CATTLE,F000000004,01/01/1995,BIRTH
A000000338,CATTLE,F000000004,01/01/1995,BIRTH
A000000339,CATTLE,F000000004,01/01/1995,BIRTH
A000000340,CATTLE,F000000004,01/01/1995,BIRTH
A000000341,CATTLE,F000000004,01/01/1995,BIRTH
A000000342,CATTLE,F000000004,01/01/1995,BIRTH
A000000343,CATTLE,F000000004,01/01/1995,BIRTH
A000000344,CATTLE,F000000004,01/01/1995,BIRTH
A000000345,CATTLE,F000000004,01/01/1995,BIRTH
A000000346,CATTLE,F000000004,01/01/1995,BIRTH
A000000347,CATTLE,F000000004,01/01/1995,BIRTH
A000000348,CATTLE,F000000004,01/01/1995,BIRTH
A000000349,CATTLE,F000000004,01/01/1995,BIRTH
A000000350,CATTLE,F000000004,01/01/1995,BIRTH
A000000351,CATTLE,F000000004,01/01/1995,BIRTH
A000000352,CATTLE,F000000004,01/01/1995,BIRTH
A000000353,CATTLE,F000000004,01/01/1995,BIRTH
A000000354,CATTLE,F000000004,01/01/1995,BIRTH
A000000355,CATTLE,F000000004,01/01/1995,BIRTH
A000000356,CATTLE,F000000004,01/01/1995,BIRTH
A000000357,CATTLE,F000000004,01/01/1995,BIRTH
A000000358,CATTLE,F000000004,01/01/1995,BIRTH
A000000359,CATTLE,F000000004,01/01/1995,BIRTH
A000000360,CATTLE,F000000004,01/01/1995,BIRTH
A000000361,CATTLE,F000000004,01/01/1995,BIRTH
A000000362,CATTLE,F000000004,01/01/1995,BIRTH
A000000363,CATTLE,F000000004,01/01/1995,BIRTH
A000000364,CATTLE,F000000004,01/01/1995,BIRTH
A000000365,CATTLE,F000000004,01/01/1995,BIRTH
A000000366,CATTLE,F000000004,01/01/1995,BIRTH
A000000367,CATTLE,F000000004,01/01/1995,BIRTH
A000000368,CATTLE,F000000004,01/01/1995,BIRTH
A000000369,CATTLE,F000000004,01/01/1995,BIRTH
A000000370,CATTLE,F000000004,01/01/1995,BIRTH
A000000371,CATTLE,F000000004,01/01/1995,BIRTH
A000000372,CATTLE,F000000004,01/01/1995,BIRTH
A000000373,CATTLE,F000000004,01/01/1995,BIRTH
A000000374,CATTLE,F000000004,01/01/1995,BIRTH
A000000375,CATTLE,F000000004,01/01/1995,BIRTH
A000000376,CATTLE,F000000004,01/01/1995,BIRTH
A000000377,CATTLE,F000000004,01/01/1995,BIRTH
A000000378,CATTLE,F000000004,01/01/1995,BIRTH
A000000379,CATTLE,F000000004,01/01/1995,BIRTH
A000000380,CATTLE,F000000004,01/01/1995,BIRTH
A000000381,CATTLE,F000000004,01/01/1995,BIRTH
A000000382,CATTLE,F000000004,01/01/1995,BIRTH
A000000383,CATTLE,F000000004,01/01/1995,BIRTH
A000000384,CATTLE,F000000004,01/01/1995,BIRTH
A000000385,CATTLE,F000000004,01/01/1995,BIRTH
A000000386,CATTLE,F000000004,01/01/1995,BIRTH
A000000387,CATTLE,F000000004,01/01/1995,BIRTH
A000000388,CATTLE,F000000004,01/01/1995,BIRTH
A000000389,CATTLE,F000000004,01/01/1995,BIRTH
A000000390,CATTLE,F000000004,01/01/1995,BIRTH
A000000391,CATTLE,F000000004,01/01/1995,BIRTH
A000000392,CATTLE,F000000004,01/01/1995,BIRTH
A000000393,CATTLE,F000000004,01/01/1995,BIRTH
A000000394,CATTLE,F000000004,01/01/1995,BIRTH
A000000395,CATTLE,F000000004,01/01/1995,BIRTH
A000000396,CATTLE,F000000004,01/01/1995,BIRTH
A000000397,CATTLE,F000000004,01/01/1995,BIRTH
A000000398,CATTLE,F000000004,01/01/1995,BIRTH
A000000399,CATTLE,F000000004,01/01/1995,BIRTH
A000000400,CATTLE,F000000004,01/01/1995,BIRTH
A000000401,CATTLE,F000000005,01/01/1995,BIRTH
A000000402,CATTLE,F000000005,01/01/1995,BIRTH
A000000403,CATTLE,F000000005,01/01/1995,BIRTH
A000000404,CATTLE,F000000005,01/01/1995,BIRTH
A000000405,CATTLE,F000000005,01/01/1995,BIRTH
A000000406,CATTLE,F000000005,01/01/1995,BIRTH
A000000407,CATTLE,F000000005,01/01/1995,BIRTH
A000000408,CATTLE,F000000005,01/01/1995,BIRTH
A000000409,CATTLE,F000000005,01/01/1995,BIRTH
A000000410,CATTLE,F000000005,01/01/1995,BIRTH
A000000411,CATTLE,F000000005,01/01/1995,BIRTH
A000000412,CATTLE,F000000005,01/01/1995,BIRTH
A000000413,CATTLE,F000000005,01/01/1995,BIRTH
A000000414,CATTLE,F000000005,01/01/1995,BIRTH
A000000415,CATTLE,F000000005,01/01/1995,BIRTH
A000000416,CATTLE,F000000005,01/01/1995,BIRTH
A000000417,CATTLE,F000000005,01/01/1995,BIRTH
A000000418,CATTLE,F000000005,01/01/1995,BIRTH
A000000419,CATTLE,F000000005,01/01/1995,BIRTH
A000000420,CATTLE,F000000005,01/01/1995,BIRTH
A000000421,CATTLE,F000000005,01/01/1995,BIRTH
A000000422,CATTLE,F000000005,01/01/1995,BIRTH
A000000423,CATTLE,F000000005,01/01/1995,BIRTH
A000000424,CATTLE,F000000005,01/01/1995,BIRTH
A000000425,CATTLE,F000000005,01/01/1995,BIRTH
A000000426,CATTLE,F000000005,01/01/1995,BIRTH
A000000427,CATTLE,F000000005,01/01/1995,BIRTH
A000000428,CATTLE,F000000005,01/01/1995,BIRTH
A000000429,CATTLE,F000000005,01/01/1995,BIRTH
A000000430,CATTLE,F000000005,01/01/1995,BIRTH
A000000431,CATTLE,F000000005,01/01/1995,BIRTH
A000000432,CATTLE,F000000005,01/01/1995,BIRTH
A000000433,CATTLE,F000000005,01/01/1995,BIRTH
A000000434,CATTLE,F000000005,01/01/1995,BIRTH
A000000435,CATTLE,F000000005,01/01/1995,BIRTH
A000000436,CATTLE,F000000005,01/01/1995,BIRTH
A000000437,CATTLE,F000000005,01/01/1995,BIRTH
A000000438,CATTLE,F000000005,01/01/1995,BIRTH
A000000439,CATTLE,F000000005,01/01/1995,BIRTH
A000000440,CATTLE,F000000005,01/01/1995,BIRTH
A000000441,CATTLE,F000000005,01/01/1995,BIRTH
A000000442,CATTLE,F000000005,01/01/1995,BIRTH
A000000443,CATTLE,F000000005,01/01/1995,BIRTH
A000000444,CATTLE,F000000005,01/01/1995,BIRTH
A000000445,CATTLE,F000000005,01/01/1995,BIRTH
A000000446,CATTLE,F000000005,01/01/1995,BIRTH
A000000447,CATTLE,F000000005,01/01/1995,BIRTH
A000000448,CATTLE,F000000005,01/01/1995,BIRTH
A000000449,CATTLE,F000000005,01/01/1995,BIRTH
A000000450,CATTLE,F000000005,01/01/1995,BIRTH
A000000451,CATTLE,F000000005,01/01/1995,BIRTH
A000000452,CATTLE,F000000005,01/01/1995,BIRTH
A000000453,CATTLE,F000000005,01/01/1995,BIRTH
A000000454,CATTLE,F000000005,01/01/1995,BIRTH
A000000455,CATTLE,F000000005,01/01/1995,BIRTH
A000000456,CATTLE,F000000005,01/01/1995,BIRTH
A000000457,CATTLE,F000000005,01/01/1995,BIRTH
A000000458,CATTLE,F000000005,01/01/1995,BIRTH
A000000459,CATTLE,F000000005,01/01/1995,BIRTH
A000000460,CATTLE,F000000005,01/01/1995,BIRTH
A000000461,CATTLE,F000000005,01/01/1995,BIRTH
A000000462,CATTLE,F000000005,01/01/1995,BIRTH
A000000463,CATTLE,F000000005,01/01/1995,BIRTH
A000000464,CATTLE,F000000005,01/01/1995,BIRTH
A000000465,CATTLE,F000000005,01/01/1995,BIRTH
A000000466,CATTLE,F000000005,01/01/1995,BIRTH
A000000467,CATTLE,F000000005,01/01/1995,BIRTH
A000000468,CATTLE,F000000005,01/01/1995,BIRTH
A000000469,CATTLE,F000000005,01/01/1995,BIRTH
A000000470,CATTLE,F000000005,01/01/1995,BIRTH
A000000471,CATTLE,F000000005,01/01/1995,BIRTH
A000000472,CATTLE,F000000005,01/01/1995,BIRTH
A000000473,CATTLE,F000000005,01/01/1995,BIRTH
A000000474,CATTLE,F000000005,01/01/1995,BIRTH
A000000475,CATTLE,F000000005,01/01/1995,BIRTH
A000000476,CATTLE,F000000005,01/01/1995,BIRTH
A000000477,CATTLE,F000000005,01/01/1995,BIRTH
A000000478,CATTLE,F000000005,01/01/1995,BIRTH
A000000479,CATTLE,F000000005,01/01/1995,BIRTH
A000000480,CATTLE,F000000005,01/01/1995,BIRTH
A000000481,CATTLE,F000000005,01/01/1995,BIRTH
