FarmID,Easting,Northing,NumberOfAnimals,Date
F000000003,6762147,2047726,137,01/05/2001
F000000004,2920263,2285626,149,01/05/2001
F000000005,1945489,8398813,109,01/05/2001
F000000006,1895172,0258054,122,01/05/2001
F000000007,3053531,6199263,129,01/05/2001
F000000008,2911218,5549348,138,01/05/2001
F000000009,8560659,0358773,123,01/05/2001
F000000010,7140505,2988334,118,01/05/2001
F000000011,5894763,6324997,121,01/05/2001
F000000012,8845659,5818326,134,01/05/2001
F000000013,3602706,8294563,165,01/05/2001
F000000014,7468409,8545046,130,01/05/2001
F000000015,1243535,0028613,129,01/05/2001
F000000016,2505107,4263288,126,01/05/2001
F000000017,9365110,5843056,134,01/05/2001
F000000018,5026832,0856055,122,01/05/2001
F000000019,1441952,4293096,111,01/05/2001
F000000020,6389069,5888759,97,01/05/2001
F000000001,8504923,4298381,143,01/06/2001
F000000002,9947451,0628487,142,01/06/2001
F000000003,6762147,2047726,144,01/06/2001
F000000004,2920263,2285626,154,01/06/2001
F000000005,1945489,8398813,110,01/06/2001
F000000006,1895172,0258054,124,01/06/2001
F000000007,3053531,6199263,136,01/06/2001
F000000008,2911218,5549348,142,01/06/2001
F000000009,8560659,0358773,131,01/06/2001
F000000010,7140505,2988334,121,01/06/2001
F000000011,5894763,6324997,130,01/06/2001
F000000012,8845659,5818326,142,01/06/2001
F000000013,3602706,8294563,174,01/06/2001
F000000014,7468409,8545046,132,01/06/2001
F000000015,1243535,0028613,132,01/06/2001
F000000016,2505107,4263288,128,01/06/2001
F000000017,9365110,5843056,143,01/06/2001
F000000018,5026832,0856055,127,01/06/2001
F000000019,1441952,4293096,113,01/06/2001
F000000020,6389069,5888759,106,01/06/2001
F000000001,8504923,4298381,144,01/07/2001
F000000002,9947451,0628487,142,01/07/2001
F000000003,6762147,2047726,144,01/07/2001
F000000004,2920263,2285626,162,01/07/2001
F000000005,1945489,8398813,110,01/07/2001
F000000006,1895172,0258054,124,01/07/2001
F000000007,3053531,6199263,136,01/07/2001
F000000008,2911218,5549348,151,01/07/2001
F000000009,8560659,0358773,131,01/07/2001
F000000010,7140505,2988334,122,01/07/2001
F000000011,5894763,6324997,139,01/07/2001
F000000012,8845659,5818326,150,01/07/2001
F000000013,3602706,8294563,180,01/07/2001
F000000014,7468409,8545046,133,01/07/2001
F000000015,1243535,0028613,133,01/07/2001
F000000016,2505107,4263288,130,01/07/2001
F000000017,9365110,5843056,134,01/07/2001
F000000018,5026832,0856055,140,01/07/2001
F000000019,1441952,4293096,120,01/07/2001
F000000020,6389069,5888759,114,01/07/2001
F000000001,8504923,4298381,146,01/08/2001
F000000002,9947451,0628487,143,01/08/2001
F000000003,6762147,2047726,147,01/08/2001
F000000004,2920263,2285626,171,01/08/2001
F000000005,1945489,8398813,114,01/08/2001
F000000006,1895172,0258054,132,01/08/2001
F000000007,3053531,6199263,143,01/08/2001
F000000008,2911218,5549348,159,01/08/2001
F000000009,8560659,0358773,136,01/08/2001
F000000010,7140505,2988334,129,01/08/2001
F000000011,5894763,6324997,141,01/08/2001
F000000012,8845659,5818326,152,01/08/2001
F000000013,3602706,8294563,181,01/08/2001
F000000014,7468409,8545046,138,01/08/2001
F000000015,1243535,0028613,133,01/08/2001
F000000016,2505107,4263288,133,01/08/2001
F000000017,9365110,5843056,134,01/08/2001
F000000018,5026832,0856055,143,01/08/2001
F000000019,1441952,4293096,121,01/08/2001
F000000020,6389069,5888759,118,01/08/2001
F000000001,8504923,4298381,154,01/09/2001
F000000002,9947451,0628487,143,01/09/2001
F000000003,6762147,2047726,154,01/09/2001
F000000004,2920263,2285626,173,01/09/2001
F000000005,1945489,8398813,123,01/09/2001
F000000006,1895172,0258054,132,01/09/2001
F000000007,3053531,6199263,151,01/09/2001
F000000008,2911218,5549348,162,01/09/2001
F000000009,8560659,0358773,145,01/09/2001
F000000010,7140505,2988334,132,01/09/2001
F000000011,5894763,6324997,141,01/09/2001
F000000012,8845659,5818326,153,01/09/2001
F000000013,3602706,8294563,181,01/09/2001
F000000014,7468409,8545046,139,01/09/2001
F000000015,1243535,0028613,140,01/09/2001
F000000016,2505107,4263288,142,01/09/2001
F000000017,9365110,5843056,137,01/09/2001
F000000018,5026832,0856055,152,01/09/2001
F000000019,1441952,4293096,123,01/09/2001
F000000020,6389069,5888759,120,01/09/2001
F000000001,8504923,4298381,163,01/10/2001
F000000002,9947451,0628487,148,01/10/2001
F000000003,6762147,2047726,157,01/10/2001
F000000004,2920263,2285626,194,01/10/2001
F000000005,1945489,8398813,125,01/10/2001
F000000006,1895172,0258054,140,01/10/2001
F000000007,3053531,6199263,152,01/10/2001
F000000008,2911218,5549348,151,01/10/2001
F000000009,8560659,0358773,151,01/10/2001
F000000010,7140505,2988334,135,01/10/2001
F000000011,5894763,6324997,148,01/10/2001
F000000012,8845659,5818326,153,01/10/2001
F000000013,3602706,8294563,190,01/10/2001
F000000014,7468409,8545046,148,01/10/2001
F000000015,1243535,0028613,143,01/10/2001
F000000016,2505107,4263288,147,01/10/2001
F000000017,9365110,5843056,146,01/10/2001
F000000018,5026832,0856055,160,01/10/2001
F000000019,1441952,4293096,130,01/10/2001
F000000020,6389069,5888759,128,01/10/2001
F000000001,8504923,4298381,163,01/11/2001
F000000002,9947451,0628487,148,01/11/2001
F000000003,6762147,2047726,157,01/11/2001
F000000004,2920263,2285626,194,01/11/2001
F000000005,1945489,8398813,125,01/11/2001
F000000006,1895172,0258054,140,01/11/2001
F000000007,3053531,6199263,152,01/11/2001
F000000008,2911218,5549348,151,01/11/2001
F000000009,8560659,0358773,151,01/11/2001
F000000010,7140505,2988334,135,01/11/2001
F000000011,5894763,6324997,148,01/11/2001
F000000012,8845659,5818326,153,01/11/2001
F000000013,3602706,8294563,190,01/11/2001
F000000014,7468409,8545046,148,01/11/2001
F000000015,1243535,0028613,143,01/11/2001
F000000016,2505107,4263288,147,01/11/2001
F000000017,9365110,5843056,146,01/11/2001
F000000018,5026832,0856055,160,01/11/2001
F000000019,1441952,4293096,130,01/11/2001
F000000020,6389069,5888759,128,01/11/2001
F000000001,8504923,4298381,163,01/12/2001
F000000002,9947451,0628487,148,01/12/2001
F000000003,6762147,2047726,157,01/12/2001
F000000004,2920263,2285626,194,01/12/2001
F000000005,1945489,8398813,130,01/12/2001
F000000006,1895172,0258054,140,01/12/2001
F000000007,3053531,6199263,152,01/12/2001
F000000008,2911218,5549348,151,01/12/2001
F000000009,8560659,0358773,146,01/12/2001
F000000010,7140505,2988334,135,01/12/2001
F000000011,5894763,6324997,148,01/12/2001
F000000012,8845659,5818326,153,01/12/2001
F000000013,3602706,8294563,190,01/12/2001
F000000014,7468409,8545046,148,01/12/2001
F000000015,1243535,0028613,143,01/12/2001
F000000016,2505107,4263288,147,01/12/2001
F000000017,9365110,5843056,146,01/12/2001
F000000018,5026832,0856055,160,01/12/2001
F000000019,1441952,4293096,130,01/12/2001
F000000020,6389069,5888759,128,01/12/2001
F000000001,8504923,4298381,171,01/01/2002
F000000002,9947451,0628487,148,01/01/2002
F000000003,6762147,2047726,157,01/01/2002
F000000004,2920263,2285626,194,01/01/2002
F000000005,1945489,8398813,130,01/01/2002
F000000006,1895172,0258054,140,01/01/2002
F000000007,3053531,6199263,152,01/01/2002
F000000008,2911218,5549348,151,01/01/2002
F000000009,8560659,0358773,146,01/01/2002
F000000010,7140505,2988334,135,01/01/2002
F000000011,5894763,6324997,148,01/01/2002
F000000012,8845659,5818326,153,01/01/2002
F000000013,3602706,8294563,190,01/01/2002
F000000014,7468409,8545046,148,01/01/2002
F000000015,1243535,0028613,135,01/01/2002
F000000016,2505107,4263288,147,01/01/2002
F000000017,9365110,5843056,146,01/01/2002
F000000018,5026832,0856055,160,01/01/2002
F000000019,1441952,4293096,130,01/01/2002
F000000020,6389069,5888759,128,01/01/2002
F000000001,8504923,4298381,171,01/02/2002
F000000002,9947451,0628487,148,01/02/2002
F000000003,6762147,2047726,157,01/02/2002
F000000004,2920263,2285626,194,01/02/2002
F000000005,1945489,8398813,130,01/02/2002
F000000006,1895172,0258054,140,01/02/2002
F000000007,3053531,6199263,152,01/02/2002
F000000008,2911218,5549348,172,01/02/2002
F000000009,8560659,0358773,146,01/02/2002
F000000010,7140505,2988334,135,01/02/2002
F000000011,5894763,6324997,148,01/02/2002
F000000012,8845659,5818326,132,01/02/2002
F000000013,3602706,8294563,190,01/02/2002
F000000014,7468409,8545046,148,01/02/2002
F000000015,1243535,0028613,135,01/02/2002
F000000016,2505107,4263288,147,01/02/2002
F000000017,9365110,5843056,146,01/02/2002
F000000018,5026832,0856055,160,01/02/2002
F000000019,1441952,4293096,130,01/02/2002
F000000020,6389069,5888759,128,01/02/2002
F000000001,8504923,4298381,171,01/03/2002
F000000002,9947451,0628487,148,01/03/2002
F000000003,6762147,2047726,157,01/03/2002
F000000004,2920263,2285626,194,01/03/2002
F000000005,1945489,8398813,130,01/03/2002
F000000006,1895172,0258054,140,01/03/2002
F000000007,3053531,6199263,152,01/03/2002
F000000008,2911218,5549348,172,01/03/2002
F000000009,8560659,0358773,146,01/03/2002
F000000010,7140505,2988334,135,01/03/2002
F000000011,5894763,6324997,148,01/03/2002
F000000012,8845659,5818326,132,01/03/2002
F000000013,3602706,8294563,190,01/03/2002
F000000014,7468409,8545046,148,01/03/2002
F000000015,1243535,0028613,135,01/03/2002
F000000016,2505107,4263288,147,01/03/2002
F000000017,9365110,5843056,146,01/03/2002
F000000018,5026832,0856055,160,01/03/2002
F000000019,1441952,4293096,130,01/03/2002
F000000020,6389069,5888759,128,01/03/2002
F000000001,8504923,4298381,171,01/04/2002
F000000002,9947451,0628487,148,01/04/2002
F000000003,6762147,2047726,143,01/04/2002
F000000004,2920263,2285626,208,01/04/2002
F000000005,1945489,8398813,130,01/04/2002
F000000006,1895172,0258054,140,01/04/2002
F000000007,3053531,6199263,152,01/04/2002
F000000008,2911218,5549348,172,01/04/2002
F000000009,8560659,0358773,146,01/04/2002
F000000010,7140505,2988334,135,01/04/2002
F000000011,5894763,6324997,148,01/04/2002
F000000012,8845659,5818326,132,01/04/2002
F000000013,3602706,8294563,190,01/04/2002
F000000014,7468409,8545046,148,01/04/2002
F000000015,1243535,0028613,135,01/04/2002
F000000016,2505107,4263288,147,01/04/2002
F000000017,9365110,5843056,146,01/04/2002
F000000018,5026832,0856055,160,01/04/2002
F000000019,1441952,4293096,130,01/04/2002
F000000020,6389069,5888759,128,01/04/2002
F000000001,8504923,4298381,171,01/05/2002
F000000002,9947451,0628487,155,01/05/2002
F000000003,6762147,2047726,152,01/05/2002
F000000004,2920263,2285626,213,01/05/2002
F000000005,1945489,8398813,132,01/05/2002
F000000006,1895172,0258054,148,01/05/2002
F000000007,3053531,6199263,153,01/05/2002
F000000008,2911218,5549348,179,01/05/2002
F000000009,8560659,0358773,148,01/05/2002
F000000010,7140505,2988334,141,01/05/2002
F000000011,5894763,6324997,151,01/05/2002
F000000012,8845659,5818326,141,01/05/2002
F000000013,3602706,8294563,199,01/05/2002
F000000014,7468409,8545046,148,01/05/2002
F000000015,1243535,0028613,141,01/05/2002
F000000016,2505107,4263288,154,01/05/2002
F000000017,9365110,5843056,153,01/05/2002
F000000018,5026832,0856055,164,01/05/2002
F000000019,1441952,4293096,132,01/05/2002
F000000020,6389069,5888759,130,01/05/2002
F000000001,8504923,4298381,172,01/06/2002
F000000002,9947451,0628487,163,01/06/2002
F000000003,6762147,2047726,157,01/06/2002
F000000004,2920263,2285626,220,01/06/2002
F000000005,1945489,8398813,138,01/06/2002
F000000006,1895172,0258054,157,01/06/2002
F000000007,3053531,6199263,160,01/06/2002
F000000008,2911218,5549348,184,01/06/2002
F000000009,8560659,0358773,150,01/06/2002
F000000010,7140505,2988334,141,01/06/2002
F000000011,5894763,6324997,155,01/06/2002
F000000012,8845659,5818326,144,01/06/2002
F000000013,3602706,8294563,205,01/06/2002
F000000014,7468409,8545046,148,01/06/2002
F000000015,1243535,0028613,146,01/06/2002
F000000016,2505107,4263288,157,01/06/2002
F000000017,9365110,5843056,155,01/06/2002
F000000018,5026832,0856055,166,01/06/2002
F000000019,1441952,4293096,139,01/06/2002
F000000020,6389069,5888759,139,01/06/2002
F000000001,8504923,4298381,177,01/07/2002
F000000002,9947451,0628487,172,01/07/2002
F000000003,6762147,2047726,162,01/07/2002
F000000004,2920263,2285626,223,01/07/2002
F000000005,1945489,8398813,140,01/07/2002
F000000006,1895172,0258054,163,01/07/2002
F000000007,3053531,6199263,166,01/07/2002
F000000008,2911218,5549348,193,01/07/2002
F000000009,8560659,0358773,152,01/07/2002
F000000010,7140505,2988334,147,01/07/2002
F000000011,5894763,6324997,156,01/07/2002
F000000012,8845659,5818326,148,01/07/2002
F000000013,3602706,8294563,212,01/07/2002
F000000014,7468409,8545046,153,01/07/2002
F000000015,1243535,0028613,154,01/07/2002
F000000016,2505107,4263288,166,01/07/2002
F000000017,9365110,5843056,156,01/07/2002
F000000018,5026832,0856055,172,01/07/2002
F000000019,1441952,4293096,139,01/07/2002
F000000020,6389069,5888759,141,01/07/2002
F000000001,8504923,4298381,178,01/08/2002
F000000002,9947451,0628487,180,01/08/2002
F000000003,6762147,2047726,167,01/08/2002
F000000004,2920263,2285626,232,01/08/2002
F000000005,1945489,8398813,149,01/08/2002
F000000006,1895172,0258054,170,01/08/2002
F000000007,3053531,6199263,168,01/08/2002
F000000008,2911218,5549348,196,01/08/2002
F000000009,8560659,0358773,159,01/08/2002
F000000010,7140505,2988334,149,01/08/2002
F000000011,5894763,6324997,163,01/08/2002
F000000012,8845659,5818326,150,01/08/2002
F000000013,3602706,8294563,216,01/08/2002
F000000014,7468409,8545046,154,01/08/2002
